ticker,company_name,current_index,market_cap,rank,predicted_action
BYG.L,Big Yellow Group,FTSE 250,1775315840.0,173.0,no change
TRIG.L,The Renewables Infrastructure Group,FTSE 250,1757296256.0,174.0,no change
RAT.L,Rathbones,FTSE 250,1740827904.0,175.0,no change
SHAW.L,Shawbrook Bank,FTSE 250,1722763392.0,176.0,no change
OSB.L,OSB Group,FTSE 250,1700843648.0,177.0,no change
CHG.L,Chemring Group,FTSE 250,1700416896.0,178.0,no change
WOSG.L,Watches of Switzerland,FTSE 250,1699721984.0,179.0,no change
PNL.L,Personal Assets Trust,FTSE 250,1693584128.0,180.0,no change
IWG.L,International Workplace Group,FTSE 250,1692459520.0,181.0,no change
PFD.L,Premier Foods,FTSE 250,1690592768.0,182.0,no change
MAB.L,Mitchells & Butlers,FTSE 250,1688696064.0,183.0,no change
LWDB.L,Law Debenture,FTSE 250,1676422400.0,184.0,no change
MNTN.L,Schiehallion Fund,FTSE 250,1665561104.4801724,185.0,no change
CURY.L,Currys,FTSE 250,1642729984.0,186.0,no change
SSPG.L,SSP Group,FTSE 250,1614763904.0,187.0,no change
COA.L,Coats Group,FTSE 250,1609746048.0,188.0,no change
OXIG.L,Oxford Instruments,FTSE 250,1609064064.0,189.0,no change
PIN.L,Pantheon International,FTSE 250,1580942336.0,190.0,no change
JMGI.L,JPMorgan Emerging Markets Growth & Income,FTSE 250,1557627264.0,191.0,no change
BOY.L,Bodycote,FTSE 250,1544211712.0,192.0,no change
SVS.L,Savills,FTSE 250,1540704384.0,193.0,no change
FSV.L,Fidelity Special Values,FTSE 250,1534657024.0,194.0,no change
CKN.L,Clarkson,FTSE 250,1532351744.0,195.0,no change
SRE.L,Sirius Real Estate,FTSE 250,1524538880.0,196.0,no change
PAG.L,Paragon Banking Group,FTSE 250,1516883456.0,197.0,no change
GDWN.L,Goodwin,FTSE 250,1500444928.0,198.0,no change
GNS.L,Genus,FTSE 250,1498946560.0,199.0,no change
ASHM.L,Ashmore Group,FTSE 250,1478440832.0,200.0,no change
GPE.L,Great Portland Estates,FTSE 250,1451468288.0,201.0,no change
LRE.L,Lancashire Holdings,FTSE 250,1441092864.0,202.0,no change
ATYM.L,Atalaya Mining,FTSE 250,1413814400.0,203.0,no change
BNKR.L,Bankers Investment Trust,FTSE 250,1408792832.0,204.0,no change
RHIM.L,RHI Magnesita,FTSE 250,1401164160.0,205.0,no change
TPK.L,Travis Perkins,FTSE 250,1399734144.0,206.0,no change
ENOG.L,Energean,FTSE 250,1395067264.0,207.0,no change
SAFE.L,Safestore,FTSE 250,1379355136.0,208.0,no change
BHMG.L,BH Macro,FTSE 250,1377551104.0,209.0,no change
WWH.L,Worldwide Healthcare Trust,FTSE 250,1362033152.0,210.0,no change
ASL.L,Aberforth Smaller Companies Trust,FTSE 250,1345652864.0,211.0,no change
FAN.L,Volution Group,FTSE 250,1338742016.0,212.0,no change
FOUR.L,4imprint,FTSE 250,1315311744.0,213.0,no change
IHP.L,IntegraFin Holdings,FTSE 250,1308285696.0,214.0,no change
GRI.L,Grainger,FTSE 250,1307017216.0,215.0,no change
RPI.L,Raspberry Pi Holdings,FTSE 250,1305546624.0,216.0,no change
TMPL.L,Temple Bar Investment Trust,FTSE 250,1300899712.0,217.0,no change
JFJ.L,JPMorgan Japanese Investment Trust,FTSE 250,1294723072.0,218.0,no change
SEQI.L,Sequoia Economic Infrastructure Income Fund,FTSE 250,1254276608.0,219.0,no change
BREE.L,Breedon Group,FTSE 250,1223148288.0,220.0,no change
